STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/2/2019,,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,34,",,W",16,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/3/2019,,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,53,",,W",33,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/4/2019,,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,61,",,W",41,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/5/2019,,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,65,",,W",44,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/6/2019,,,0.45,",,W,2400",0,",,W,2400",0,",,W,2400",,,46,",,W",35,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/7/2019,,,0.07,",,W,2400",0,",,W,2400",0,",,W,2400",,,44,",,W",39,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/8/2019,,,0.37,",,W,2400",0,",,W,2400",0,",,W,2400",,,55,",,W",32,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/9/2019,,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,32,",,W",23,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/10/2019,,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,35,",,W",23,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/11/2019,,,0,"T,,W,2400",0,"T,,W,2400",0,",,W,2400",,,38,",,W",30,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/12/2019,,,0.75,",,W,2400",1.2,",,W,2400",0,",,W,2400",,,36,",,W",26,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/13/2019,,,0.08,",,W,2400",0,"T,,W,2400",1.2,",,W,2400",,,41,",,W",33,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/14/2019,,,0,"T,,W,2400",0,"T,,W,2400",0,",,W,2400",,,46,",,W",33,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/15/2019,,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,59,",,W",42,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/16/2019,,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,47,",,W",32,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/17/2019,,,0.04,",,W,2400",0,",,W,2400",0,",,W,2400",,,38,",,W",26,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/18/2019,,,0.09,",,W,2400",0,",,W,2400",0,",,W,2400",,,42,",,W",26,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/19/2019,,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,36,",,W",23,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/20/2019,,,0.57,",,W,2400",1.3,",,W,2400",0,",,W,2400",,,33,",,W",26,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/21/2019,,,0.1,",,W,2400",0,",,W,2400",1.2,",,W,2400",,,52,",,W",33,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/22/2019,,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,44,",,W",36,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/23/2019,,,0.01,",,W,2400",0,",,W,2400",0,",,W,2400",,,42,",,W",32,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/24/2019,,,0.58,",,W,2400",0,",,W,2400",0,",,W,2400",,,47,",,W",36,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/25/2019,,,0,"T,,W,2400",0,",,W,2400",0,",,W,2400",,,43,",,W",28,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/26/2019,,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,36,",,W",25,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/27/2019,,,0,"T,,W,2400",0,"T,,W,2400",0,",,W,2400",,,31,",,W",23,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/28/2019,,,0.03,",,W,2400",0.1,",,W,2400",0,"T,,W,2400",,,37,",,W",27,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/1/2019,,,0.11,",,W,2400",1.4,",,W,2400",1.2,",,W,2400",,,35,",,W",26,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/2/2019,,,0.53,",,W,2400",4,",,W,2400",3.9,",,W,2400",,,41,",,W",31,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/3/2019,,,0.52,",,W,2400",3,",,W,2400",1.2,",,W,2400",,,42,",,W",33,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/4/2019,,,0.29,",,W,2400",2,",,W,2400",3.9,",,W,2400",,,38,",,W",28,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/5/2019,,,0,",,W,2400",0,",,W,2400",2,",,W,2400",,,32,",,W",20,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/6/2019,,,0,"T,,W,2400",0,"T,,W,2400",1.2,",,W,2400",,,26,",,W",19,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/7/2019,,,0,",,W,2400",0,",,W,2400",1.2,",,W,2400",,,32,",,W",18,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/8/2019,,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,39,",,W",24,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/9/2019,,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,49,",,W",34,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/10/2019,,,0.54,",,W,2400",0,",,W,2400",0,",,W,2400",,,43,",,W",35,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/11/2019,9.17,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,53,",,W",39,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/12/2019,8.95,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,44,",,W",34,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/13/2019,2.46,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,49,",,W",32,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/14/2019,2.91,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,57,",,W",42,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/15/2019,2.24,",,W",0.39,",,W,2400",0,",,W,2400",0,",,W,2400",,,75,",,W",49,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/16/2019,10.07,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,58,",,W",37,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/17/2019,6.26,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,45,",,W",34,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/18/2019,2.01,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,46,",,W",32,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/19/2019,3.13,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,51,",,W",35,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/20/2019,2.91,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,53,",,W",37,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/21/2019,7.83,",,W",0.75,",,W,2400",0,",,W,2400",0,",,W,2400",,,46,",,W",41,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/22/2019,10.74,",,W",0.68,",,W,2400",0,",,W,2400",0,",,W,2400",,,49,",,W",38,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/23/2019,9.84,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,48,",,W",35,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/24/2019,4.47,",,W",0,",,W,2400",0,",,W,2400",0,",,W,2400",,,60,",,W",38,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/25/2019,4.25,",,W",0,"T,,W,2400",0,",,W,2400",0,",,W,2400",,,56,",,W",42,",,W"
